parameter_name,Hematocrit
analysis_id,52787z4482x2or4
mouse_strain,C57BL
pvalue,0.8837365
gene_accession_id,MGI:3522699
parameter_id,IMPC_HEM_004_001
mouse_life_stage,Early adult
gene_symbol,Trpa1
