analysis_id,4qa42m92t3084sd
pvalue,0.0897561
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
parameter_id,MGP_CSD_025_001
gene_symbol,Rab3gap2
