analysis_id,oq83b09jcg11662
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
pvalue,0.3641376
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,Early adult
