analysis_id,78e0a974xw8m56y
pvalue,0.2403181
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cornea
