parameter_id,HRWLLA_CBC_014_001
pvalue,0.2147454
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,Alkaline phosphatase
analysis_id,86q7a7r5001v9k0
mouse_life_stage,E18.5
