gene_symbol,Mgst2
parameter_name,Distance travelled - total
analysis_id,38450pxxrsl41e1
mouse_life_stage,Early adult
pvalue,0.2574756
parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
gene_accession_id,MGI:2448481
