parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.130624
gene_symbol,Bmi1
mouse_life_stage,Early adult
analysis_id,x85pev46utz49vw
parameter_id,IMPC_OFD_020_001
