parameter_name,Limb morphology
gene_symbol,Rnf114
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8005247
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1933159
analysis_id,r31qi326hs3rdwq
