parameter_name,Total bilirubin
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
gene_symbol,Cd52
pvalue,0.4341652
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
analysis_id,y7sdi3cn5623h09
