parameter_id,MGP_IMM_048_001
pvalue,0.936152
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
analysis_id,2ss7ayhrj8x975r
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
