analysis_id,3a038090xa16409
gene_symbol,Lime1
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
pvalue,0.4557504
