analysis_id,2d7v3ee77dhy3gt
pvalue,0.05542287
parameter_id,IMPC_ECG_003_001
mouse_life_stage,E15.5
parameter_name,CV
gene_symbol,Mapkap1
mouse_strain,C57BL
gene_accession_id,MGI:2444554
