gene_symbol,Hnf4a
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:109128
pvalue,0.5133981
mouse_strain,C57BL
analysis_id,ra3392af120058e
parameter_name,Spleen weight
mouse_life_stage,Early adult
