parameter_name,Center permanence time
pvalue,0.1345039
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Atg4c
analysis_id,7sb54k12qvn9k20
