gene_symbol,Nucks1
mouse_strain,C57BL
analysis_id,1i54d8g3m55802x
mouse_life_stage,Middle aged adult
parameter_id,HMGULA_CBC_018_001
pvalue,0.4798362
gene_accession_id,MGI:1934811
parameter_name,Glucose
