gene_symbol,Psmd14
gene_accession_id,MGI:1913284
mouse_strain,C57BL
pvalue,0.5123334
parameter_id,MGP_IMM_022_001
mouse_life_stage,Early adult
analysis_id,gfxg92yk61d1w09
parameter_name,KLRG1+ gd T cells - % of gd T cells
