analysis_id,723y064oog403n9
gene_accession_id,MGI:108072
pvalue,0.06656893
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
parameter_name,Corneal opacity
mouse_strain,C57BL
gene_symbol,Traf6
