parameter_name,Hindlimb nail - number
mouse_strain,C57BL
pvalue,0.3933165
analysis_id,r94z0cz1vv80lo0
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
