gene_symbol,Clvs1
analysis_id,wyii2da26zllg9b
pvalue,0.3306805
gene_accession_id,MGI:1921688
mouse_strain,C57BL
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
