analysis_id,8y65zw83q453kvq
gene_symbol,Arnt
parameter_name,Body Weight
pvalue,0.9849692
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
mouse_strain,C57BL
