parameter_name,Humerus
analysis_id,6h321zw6jh7l3hl
gene_symbol,Lcn2
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
pvalue,0.8707571
gene_accession_id,MGI:96757
