analysis_id,63yu09as615tz0a
gene_symbol,Sla2
gene_accession_id,MGI:1925049
pvalue,0.06173284
mouse_strain,C57BL
parameter_id,MGP_IMM_020_001
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
