mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_041_001
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
analysis_id,851q38no2e46pa7
pvalue,0.1716847
mouse_strain,C57BL
parameter_name,Total B cells - % of CD45+
