analysis_id,47tebrn0kpj66m7
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
parameter_name,Monocytes
pvalue,0.3993385
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_strain,129SV
