parameter_name,Vocalization
gene_accession_id,MGI:2685277
mouse_strain,C57BL
analysis_id,7ri12lnilu58j53
parameter_id,IMPC_CSD_078_001
pvalue,0.5442499
gene_symbol,Zyg11b
mouse_life_stage,E18.5
