analysis_id,243bvzy5lxg44x2
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
gene_symbol,Hspa5
pvalue,0.8334777
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
