gene_symbol,Cisd2
parameter_name,Retina (combined)
analysis_id,282dr5n4o4qi401
mouse_strain,C57BL
gene_accession_id,MGI:1914256
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Early adult
pvalue,0.5186315
