gene_symbol,Rnf114
gene_accession_id,MGI:1933159
analysis_id,6ppq7xt42b63bd0
pvalue,0.1005136
parameter_name,Right kidney weight
mouse_life_stage,Early adult
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
