gene_symbol,Ncaph
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
parameter_id,MGP_PBI_035_001
pvalue,0.6795282
analysis_id,p1lvg583a2ykee6
mouse_strain,C57BL
parameter_name,IgD+ mature B cell number
