parameter_name,Triglycerides
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
pvalue,0.5323872
gene_accession_id,MGI:1920638
analysis_id,6r703pvamn3qa4m
gene_symbol,Bpifa3
mouse_strain,129SV
