analysis_id,8c2u89y723pj6m2
parameter_name,Thyroxine
pvalue,0.170038
gene_accession_id,MGI:1345282
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Slc30a4
