gene_symbol,Car13
parameter_name,Corneal vascularization
analysis_id,wyfu891105e23wk
mouse_strain,C57BL
pvalue,0.1469706
gene_accession_id,MGI:1931322
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
