analysis_id,3350820m48m3ub5
parameter_name,B cell number
parameter_id,MGP_PBI_034_001
mouse_life_stage,Early adult
pvalue,0.8759366
gene_accession_id,MGI:1915087
mouse_strain,C57BL
gene_symbol,Tiprl
