parameter_name,Center permanence time
analysis_id,23u784n61u6408i
gene_symbol,Dhdds
pvalue,5.646023e-05
gene_accession_id,MGI:1914672
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
mouse_life_stage,Early adult
