analysis_id,u289z28f506l2bf
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
pvalue,0.5091932
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Lpgat1
