analysis_id,702jfrdncy2463z
mouse_life_stage,Early adult
gene_symbol,Clvs1
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI4
pvalue,0.3432481
gene_accession_id,MGI:1921688
