gene_symbol,Wars2
mouse_life_stage,E9.5
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:1917810
analysis_id,1kc8w20666fu8ob
mouse_strain,C57BL
pvalue,0.7277998
parameter_id,MGP_IMM_014_001
