parameter_name,LDL-cholesterol
gene_symbol,Tiprl
pvalue,0.4747165
mouse_strain,C57BL
analysis_id,o29fw32v653v38v
gene_accession_id,MGI:1915087
parameter_id,IMPC_CBC_025_001
mouse_life_stage,E9.5
