gene_symbol,Nemp2
parameter_id,IMPC_GEL_017_002
parameter_name,Pale yolk sac
mouse_life_stage,Early adult
analysis_id,ur6e276lijs17aq
pvalue,0.975582
mouse_strain,C57BL
gene_accession_id,MGI:2444113
