parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:1921262
mouse_strain,C57BL
analysis_id,1163feqa77ht5z3
pvalue,0.8686874
mouse_life_stage,Early adult
gene_symbol,RAP2B
parameter_name,Spleen weight
