gene_symbol,Bach2
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
pvalue,0.4325198
analysis_id,5p3e35f9t9ce16k
mouse_strain,C50BL
gene_accession_id,MGI:894679
