analysis_id,l2i125s93o6k1p1
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:1914836
pvalue,0.9583783
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Red blood cell count
gene_symbol,Ubxn11
