parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
mouse_life_stage,E9.5
pvalue,0.1570836
analysis_id,3dwlv0z41627l73
gene_symbol,Ahcy
gene_accession_id,MGI:87968
mouse_strain,C57BL
