gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
parameter_id,MGP_IMM_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5259657
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
analysis_id,bu8883ya29v3517
