gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
pvalue,0.9757311
parameter_name,MZB (CD21/35 high)
analysis_id,lrcms119wyk18fu
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
