analysis_id,fduct66q789t078
parameter_id,ESLIM_001_001_117
parameter_name,eye size
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
pvalue,0.3766814
gene_symbol,Col6a3
mouse_strain,C57BL
