parameter_id,IMPC_EYE_059_001
parameter_name,Mean right eye lens density
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3932398
analysis_id,o2e4986rpr725t1
