analysis_id,m987281spd3i074
gene_symbol,Frmpd1
pvalue,0.6600097
gene_accession_id,MGI:2446274
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Late adult
mouse_strain,C57BL
