analysis_id,1g4h2tx1wv88h41
gene_accession_id,MGI:1332236
mouse_strain,129SV
gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_029_001
parameter_name,Neutrophil differential count
pvalue,0.2872793
