analysis_id,91yf27w0x5u4m97
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
gene_symbol,Kdm4c
pvalue,0.6584374
parameter_id,IMPC_CSD_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
