parameter_name,End-Systolic Diameter
mouse_strain,C57BL
analysis_id,x8t2186696l097u
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
pvalue,0.2983023
gene_symbol,Ola1
parameter_id,IMPC_ECH_001_001
