analysis_id,18bm097v1drkux6
mouse_strain,C57BL
gene_accession_id,MGI:106100
parameter_id,MGP_IMM_110_001
pvalue,0.1907504
parameter_name,Transitional 1 B cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Etfdh
