analysis_id,m36s28i4h8xckq3
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:1913396
mouse_strain,C57BL
pvalue,0.8551877
parameter_name,Click-evoked ABR threshold
gene_symbol,Maco1
