analysis_id,00w1h413p465588
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2755008
parameter_id,ESLIM_011_001_705
