parameter_name,Basophil differential count
analysis_id,z0ovi0s9773e40l
gene_symbol,Lpgat1
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
pvalue,0.7095665
