parameter_name,CV
parameter_id,IMPC_ECG_003_001
gene_symbol,Mov10
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
analysis_id,07j729g95g27ecf
pvalue,0.1400971
mouse_strain,C57BL
