gene_symbol,Plcb1
parameter_name,Snout size
Analysis_id,e7om00k9n5qav78
mouse_life_stage,Late adult
parameter_id,MGP_CSD_067_001
pvalue,0.4746472
gene_accession_id,MGI:97613
mouse_strain,C57BL
