analysis_id,lzy2i0w286k831q
gene_accession_id,MGI:1924054
parameter_name,Radius
pvalue,0.8536079
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
gene_symbol,Kdm4c
mouse_life_stage,Early adult
