parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
gene_symbol,Exd1
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.6394997
gene_accession_id,MGI:3045306
analysis_id,8dd6b44077319j4
mouse_life_stage,Early adult
