parameter_id,HMGULA_HWT_008_001
gene_symbol,Arpc2
mouse_strain,129SV
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_name,Heart weight
pvalue,0.9181392
analysis_id,833e12sdm984rhq
