gene_symbol,Lamb3
mouse_strain,C57BL
pvalue,0.9245936
analysis_id,489g8286q0z3981
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
parameter_id,IMPC_CBC_004_001
parameter_name,Urea (Blood Urea Nitrogen - BUN)
