analysis_id,85ur7krd9m4o91b
gene_accession_id,MGI:2385156
pvalue,0.5006446
gene_symbol,Sdcbp2
parameter_id,IMPC_ACS_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI1
