analysis_id,y84ft4q48092x34
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
pvalue,0.4335724
parameter_id,MGP_IMM_026_001
gene_symbol,Opn3
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
