parameter_name,Neutrophil cell count
gene_accession_id,MGI:2677850
mouse_strain,C53BL
gene_symbol,Abitram
parameter_id,IMPC_HEM_030_001
analysis_id,xls5ecfpk15t953
pvalue,0.8361237
mouse_life_stage,Early adult
